date,oil buy
2023-04-14,2531
2023-04-15,2634
2023-04-16,2577
2023-04-17,2645
2023-04-18,2605
2023-04-19,2584
2023-04-20,2520
2023-04-21,2616
2023-04-22,2805
2023-04-23,2657
2023-04-24,2680
2023-04-25,2645
2023-04-26,2626
2023-04-27,2226
2023-04-28,2239
2023-04-29,2330
2023-04-30,2302
2023-05-01,2218
2023-05-02,2157
2023-05-03,2117
2023-05-04,2142
2023-05-05,2143
2023-05-06,2151
2023-05-07,2127
2023-05-08,2196
2023-05-09,2276
2023-05-10,2238
2023-05-11,2175
2023-05-12,2182
2023-05-13,2171
2023-05-14,2190
2023-05-15,2427
2023-05-16,2432
2023-05-17,2391
